char	index	unicode	strokes	sequence
毌	6507	U+6BCC	4	5;5;2;1
书	0188	U+4E66	4	5;5;2;4
毋	3527	U+6BCB	4	5;5;3;1
幻	0189	U+5E7B	4	5;5;4;5
玉	0190	U+7389	5	1;1;2;1;4
刊	0191	U+520A	5	1;1;2;2;2
未	0192	U+672A	5	1;1;2;3;4
末	0193	U+672B	5	1;1;2;3;4
示	0194	U+793A	5	1;1;2;3;4
击	0195	U+51FB	5	1;1;2;5;2
邗	3528	U+9097	5	1;1;2;5;2
邘	6508	U+9098	5	1;1;2;5;2
戋	6509	U+620B	5	1;1;5;3;4
圢	6510	U+5722	5	1;2;1;1;2
打	0196	U+6253	5	1;2;1;1;2
巧	0197	U+5DE7	5	1;2;1;1;5
正	0198	U+6B63	5	1;2;1;2;1
扑	0199	U+6251	5	1;2;1;2;4
卉	0200	U+5349	5	1;2;1;3;2
扒	0201	U+6252	5	1;2;1;3;4
邛	3529	U+909B	5	1;2;1;5;2
功	0202	U+529F	5	1;2;1;5;3
扔	0203	U+6254	5	1;2;1;5;3
去	0204	U+53BB	5	1;2;1;5;4
甘	0205	U+7518	5	1;2;2;1;1
世	0206	U+4E16	5	1;2;2;1;5
艾	0207	U+827E	5	1;2;2;3;4
艽	3530	U+827D	5	1;2;2;3;5
古	0208	U+53E4	5	1;2;2;5;1
节	0209	U+8282	5	1;2;2;5;2
艿	3531	U+827F	5	1;2;2;5;3
本	0210	U+672C	5	1;2;3;4;1
术	0211	U+672F	5	1;2;3;4;4
札	3532	U+672D	5	1;2;3;4;5
可	0212	U+53EF	5	1;2;5;1;2
叵	3533	U+53F5	5	1;2;5;1;5
匝	3534	U+531D	5	1;2;5;2;5
丙	0213	U+4E19	5	1;2;5;3;4
左	0214	U+5DE6	5	1;3;1;2;1
厉	0215	U+5389	5	1;3;1;5;3
丕	3535	U+4E15	5	1;3;2;4;1
石	0216	U+77F3	5	1;3;2;5;1
右	0217	U+53F3	5	1;3;2;5;1
布	0218	U+5E03	5	1;3;2;5;2
夯	0219	U+592F	5	1;3;4;5;3
戊	0220	U+620A	5	1;3;5;3;4
龙	0221	U+9F99	5	1;3;5;3;4
平	0222	U+5E73	5	1;4;3;1;2
灭	0223	U+706D	5	1;4;3;3;4
轧	0224	U+8F67	5	1;5;2;1;5
东	0225	U+4E1C	5	1;5;2;3;4
匜	3536	U+531C	5	1;5;2;5;5
劢	3537	U+52A2	5	1;5;3;5;3
卡	0226	U+5361	5	2;1;1;2;4
北	0227	U+5317	5	2;1;1;3;5
占	0228	U+5360	5	2;1;2;5;1
凸	0229	U+51F8	5	2;1;2;5;1
卢	0230	U+5362	5	2;1;5;1;3
业	0231	U+4E1A	5	2;2;4;3;1
旧	0232	U+65E7	5	2;2;5;1;1
帅	0233	U+5E05	5	2;3;2;5;2
归	0234	U+5F52	5	2;3;5;1;1
旦	0235	U+65E6	5	2;5;1;1;1
目	0236	U+76EE	5	2;5;1;1;1
且	0237	U+4E14	5	2;5;1;1;1
叶	0238	U+53F6	5	2;5;1;1;2
甲	0239	U+7532	5	2;5;1;1;2
申	0240	U+7533	5	2;5;1;1;2
叮	0241	U+53EE	5	2;5;1;1;2
电	0242	U+7535	5	2;5;1;1;5
号	0243	U+53F7	5	2;5;1;1;5
田	0244	U+7530	5	2;5;1;2;1
由	0245	U+7531	5	2;5;1;2;1
卟	3538	U+535F	5	2;5;1;2;4
只	0246	U+53EA	5	2;5;1;3;4
叭	0247	U+53ED	5	2;5;1;3;4
史	0248	U+53F2	5	2;5;1;3;4
央	0249	U+592E	5	2;5;1;3;4
叱	3539	U+53F1	5	2;5;1;3;5
兄	0250	U+5144	5	2;5;1;3;5
叽	0251	U+53FD	5	2;5;1;3;5
叼	0252	U+53FC	5	2;5;1;5;1
叫	0253	U+53EB	5	2;5;1;5;2
叩	0254	U+53E9	5	2;5;1;5;2
叨	0255	U+53E8	5	2;5;1;5;3
叻	3540	U+53FB	5	2;5;1;5;3
另	0256	U+53E6	5	2;5;1;5;3
叹	0257	U+53F9	5	2;5;1;5;4
冉	0258	U+5189	5	2;5;2;1;1
皿	0259	U+76BF	5	2;5;2;2;1
凹	0260	U+51F9	5	2;5;2;5;1
囚	0261	U+56DA	5	2;5;3;4;1
四	0262	U+56DB	5	2;5;3;5;1
生	0263	U+751F	5	3;1;1;2;1
矢	0264	U+77E2	5	3;1;1;3;4
失	0265	U+5931	5	3;1;1;3;4
氕	6511	U+6C15	5	3;1;1;5;3
乍	0266	U+4E4D	5	3;1;2;1;1
禾	0267	U+79BE	5	3;1;2;3;4
仨	3541	U+4EE8	5	3;2;1;1;1
丘	0268	U+4E18	5	3;2;1;2;1
仕	3542	U+4ED5	5	3;2;1;2;1
付	0269	U+4ED8	5	3;2;1;2;4
仗	0270	U+4ED7	5	3;2;1;3;4
代	0271	U+4EE3	5	3;2;1;5;4
仙	0272	U+4ED9	5	3;2;2;5;2
仟	3543	U+4EDF	5	3;2;3;1;2
仡	3544	U+4EE1	5	3;2;3;1;5
仫	3545	U+4EEB	5	3;2;3;5;4
伋	6512	U+4F0B	5	3;2;3;5;4
们	0273	U+4EEC	5	3;2;4;2;5
仪	0274	U+4EEA	5	3;2;4;3;4
白	0275	U+767D	5	3;2;5;1;1
仔	0276	U+4ED4	5	3;2;5;2;1
他	0277	U+4ED6	5	3;2;5;2;5
仞	3546	U+4EDE	5	3;2;5;3;4
斥	0278	U+65A5	5	3;3;1;2;4
卮	3547	U+536E	5	3;3;1;5;5
瓜	0279	U+74DC	5	3;3;5;4;4
仝	6513	U+4EDD	5	3;4;1;2;1
乎	0280	U+4E4E	5	3;4;3;1;2
丛	0281	U+4E1B	5	3;4;3;4;1
令	0282	U+4EE4	5	3;4;4;5;4
用	0283	U+7528	5	3;5;1;1;2
甩	0284	U+7529	5	3;5;1;1;5
印	0285	U+5370	5	3;5;1;5;2
氐	3548	U+6C10	5	3;5;1;5;4
尔	0286	U+5C14	5	3;5;2;3;4
乐	0287	U+4E50	5	3;5;2;3;4
